Date,Date,Energy,diff,Energy_log,Energy_log_diff
1943-12-01,1943-12-01,5.7867,0.0,1.755562180916167,0.09353181836289615
1944-01-01,1944-01-01,5.735,-0.05169999999999941,1.746587750581334,0.09439690908158482
1944-02-01,1944-02-01,5.8125,0.07749999999999968,1.7600107709134747,0.09307783463226471
1944-03-01,1944-03-01,5.9159,0.10339999999999971,1.7776436413926413,0.10585084021177482
1944-04-01,1944-04-01,5.9417,0.025800000000000267,1.78199528771469,0.09574449326763035
1944-05-01,1944-05-01,5.9417,0.0,1.78199528771469,0.09097738828816682
1944-06-01,1944-06-01,5.9417,0.0,1.78199528771469,0.07209684496695545
1944-07-01,1944-07-01,5.89,-0.0517000000000003,1.7732559976634952,0.05406722127027552
1944-08-01,1944-08-01,5.9159,0.025900000000000034,1.7776436413926413,0.05382402683982579
1944-09-01,1944-09-01,5.89,-0.025900000000000034,1.7732559976634952,0.03117708889001891
1944-10-01,1944-10-01,5.8384,-0.051599999999999646,1.7644567867000462,0.022377877926569978
1944-11-01,1944-11-01,5.89,0.051599999999999646,1.7732559976634952,0.017693816747328173
1944-12-01,1944-12-01,5.9159,0.025900000000000034,1.7776436413926413,0.0220814604764743
1945-01-01,1945-01-01,6.0192,0.10329999999999995,1.794954360124574,0.04836660954324001
1945-02-01,1945-02-01,6.0192,0.0,1.794954360124574,0.03494358921109941
1945-03-01,1945-03-01,5.9934,-0.02579999999999938,1.790658863784022,0.013015222391380643
1945-04-01,1945-04-01,5.9934,0.0,1.790658863784022,0.00866357606933188
1945-05-01,1945-05-01,6.045,0.051599999999999646,1.799231484066756,0.01723619635206597
1945-06-01,1945-06-01,6.1225,0.07749999999999968,1.8119705098441856,0.02997522212949555
1945-07-01,1945-07-01,6.0967,-0.02579999999999938,1.8077476411882802,0.034491643524785065
1945-08-01,1945-08-01,5.9934,-0.10329999999999995,1.790658863784022,0.013015222391380643
1945-09-01,1945-09-01,5.89,-0.1034000000000006,1.7732559976634952,0.0
1945-10-01,1945-10-01,5.8384,-0.051599999999999646,1.7644567867000462,0.0
1945-11-01,1945-11-01,5.89,0.051599999999999646,1.7732559976634952,0.0
1945-12-01,1945-12-01,5.9417,0.0517000000000003,1.78199528771469,0.004351646322048763
1946-01-01,1946-01-01,5.9417,0.0,1.78199528771469,-0.012959072409884032
1946-02-01,1946-02-01,5.9417,0.0,1.78199528771469,-0.012959072409884032
1946-03-01,1946-03-01,5.9417,0.0,1.78199528771469,-0.00866357606933188
1946-04-01,1946-04-01,6.045,0.10329999999999995,1.799231484066756,0.00857262028273409
1946-05-01,1946-05-01,6.0967,0.0517000000000003,1.8077476411882802,0.008516157121524204
1946-06-01,1946-06-01,6.1225,0.02579999999999938,1.8119705098441856,0.0
1946-07-01,1946-07-01,6.2517,0.12919999999999998,1.8328534267630165,0.025105785574736306
1946-08-01,1946-08-01,6.355,0.10330000000000084,1.8492419046414175,0.05858304085739552
1946-09-01,1946-09-01,6.4325,0.07749999999999968,1.8613632651737622,0.08810726751026698
1946-10-01,1946-10-01,6.51,0.07749999999999968,1.873339456220478,0.10888266952043169
1946-11-01,1946-11-01,6.5359,0.025900000000000034,1.8773100575630564,0.10405405989956118
1946-12-01,1946-12-01,6.5617,0.025800000000000267,1.881249715724848,0.09925442801015794
1947-01-01,1947-01-01,6.7425,0.18079999999999963,1.908430776031748,0.12643548831705798
1947-02-01,1947-02-01,6.6134,-0.12909999999999933,1.889097893782969,0.10710260606827893
1947-03-01,1947-03-01,6.5617,-0.0517000000000003,1.881249715724848,0.09925442801015794
1947-04-01,1947-04-01,6.5617,0.0,1.881249715724848,0.08201823165809197
1947-05-01,1947-05-01,6.5359,-0.025800000000000267,1.8773100575630564,0.06956241637477611
1947-06-01,1947-06-01,6.5359,0.0,1.8773100575630564,0.06533954771887074
